facility_id,facility_name,state,measure_id,measure_name,score_numeric,score_category,data_status,start_date,end_date
281314,ANNIE JEFFREY MEMORIAL COUNTY HEALTH CENTER,NE,EDV,Emergency department volume,,low,Reported,2024-01-01,2024-12-31
281357,SIDNEY REGIONAL MEDICAL CENTER,NE,EDV,Emergency department volume,,low,Reported,2024-01-01,2024-12-31
281345,PROVIDENCE MEDICAL CENTER,NE,EDV,Emergency department volume,,low,Reported,2024-01-01,2024-12-31
280060,CHI HEALTH BERGAN MERCY,NE,EDV,Emergency department volume,,very high,Reported,2024-01-01,2024-12-31
281304,THAYER COUNTY HEALTH SERVICES,NE,EDV,Emergency department volume,,low,Reported,2024-01-01,2024-12-31
281331,AVERA CREIGHTON HOSPITAL,NE,EDV,Emergency department volume,,low,Reported,2024-01-01,2024-12-31
281333,ROCK COUNTY HOSPITAL,NE,EDV,Emergency department volume,,low,Reported,2024-01-01,2024-12-31
280013,THE NEBRASKA MEDICAL CENTER,NE,EDV,Emergency department volume,,very high,Reported,2024-01-01,2024-12-31
281325,BROWN COUNTY HOSPITAL,NE,EDV,Emergency department volume,,low,Reported,2024-01-01,2024-12-31
280009,CHI HEALTH GOOD SAMARITAN,NE,EDV,Emergency department volume,,low,Reported,2024-01-01,2024-12-31
280125,FAITH REGIONAL HEALTH SERVICES,NE,EDV,Emergency department volume,,low,Reported,2024-01-01,2024-12-31
281350,JOHNSON COUNTY HOSPITAL,NE,EDV,Emergency department volume,,low,Reported,2024-01-01,2024-12-31
281319,JEFFERSON COMMUNITY HEALTH & LIFE,NE,EDV,Emergency department volume,,low,Reported,2024-01-01,2024-12-31
281364,"BEATRICE COMMUNITY HOSPITAL & HEALTH CENTER, INC",NE,EDV,Emergency department volume,,low,Reported,2024-01-01,2024-12-31
281356,PERKINS COUNTY HEALTH SERVICES,NE,EDV,Emergency department volume,,low,Reported,2024-01-01,2024-12-31
280020,CHI HEALTH ST. ELIZABETH,NE,EDV,Emergency department volume,,medium,Reported,2024-01-01,2024-12-31
280081,CHI HEALTH IMMANUEL,NE,EDV,Emergency department volume,,medium,Reported,2024-01-01,2024-12-31
280059,TWELVE CLANS UNITY HOSPITAL,NE,EDV,Emergency department volume,,low,Reported,2024-01-01,2024-12-31
280132,BELLEVUE MEDICAL CENTER,NE,EDV,Emergency department volume,,medium,Reported,2024-01-01,2024-12-31
281332,BUTLER COUNTY HEALTH,NE,EDV,Emergency department volume,,low,Reported,2024-01-01,2024-12-31
281342,CHI HEALTH ST. MARYS,NE,EDV,Emergency department volume,,low,Reported,2024-01-01,2024-12-31
281323,CHI HEALTH SCHUYLER,NE,EDV,Emergency department volume,,low,Reported,2024-01-01,2024-12-31
281340,DUNDY COUNTY HOSPITAL,NE,EDV,Emergency department volume,,low,Reported,2024-01-01,2024-12-31
281349,PENDER COMMUNITY HOSPITAL,NE,EDV,Emergency department volume,,low,Reported,2024-01-01,2024-12-31
281351,CHASE COUNTY COMMUNITY HOSPITAL,NE,EDV,Emergency department volume,,low,Reported,2024-01-01,2024-12-31
281359,MEMORIAL COMMUNITY HOSPITAL & HEALTH SYSTEM,NE,EDV,Emergency department volume,,low,Reported,2024-01-01,2024-12-31
281360,BOX BUTTE GENERAL HOSPITAL,NE,EDV,Emergency department volume,,low,Reported,2024-01-01,2024-12-31
281315,BRODSTONE HEALTHCARE,NE,EDV,Emergency department volume,,low,Reported,2024-01-01,2024-12-31
281324,NEMAHA COUNTY HOSPITAL,NE,EDV,Emergency department volume,,low,Reported,2024-01-01,2024-12-31
281334,BOONE COUNTY HEALTH CENTER,NE,EDV,Emergency department volume,,low,Reported,2024-01-01,2024-12-31
281306,KEARNEY COUNTY HEALTH SERVICES HOSPITAL,NE,EDV,Emergency department volume,,low,Reported,2024-01-01,2024-12-31
281341,CHADRON HOSPITAL,NE,EDV,Emergency department volume,,low,Reported,2024-01-01,2024-12-31
