facility_id,facility_name,hospital_type,org_group
280139,GRAND ISLAND REGIONAL MEDICAL CENTER,Acute Care Hospitals,Bryan Health Network
280003,BRYAN MEDICAL CENTER,Acute Care Hospitals,Bryan Health Network
280134,KEARNEY REGIONAL MEDICAL CENTER,Acute Care Hospitals,Bryan Health Network
281354,CRETE AREA MEDICAL CENTER,Critical Access Hospitals,Bryan Health Network
281328,MERRICK MEDICAL CENTER,Critical Access Hospitals,Bryan Health Network
280020,CHI HEALTH ST. ELIZABETH,Acute Care Hospitals,Lincoln Competitor
28006F,OMAHA VA MEDICAL CENTER (VA NEBRASKA WESTERN IOWA HEALTHCARE SYSTEM),Acute Care - Veterans Administration,Other Nebraska
280130,CHI HEALTH LAKESIDE,Acute Care Hospitals,Other Nebraska
280060,CHI HEALTH BERGAN MERCY,Acute Care Hospitals,Other Nebraska
280040,THE NEBRASKA METHODIST HOSPITAL,Acute Care Hospitals,Other Nebraska
280133,"NEBRASKA SPINE HOSPITAL, LLC",Acute Care Hospitals,Other Nebraska
280023,CHI HEALTH ST. FRANCIS,Acute Care Hospitals,Other Nebraska
280077,METHODIST FREMONT HEALTH,Acute Care Hospitals,Other Nebraska
280128,CHI HEALTH NEBRASKA HEART,Acute Care Hospitals,Other Nebraska
280061,REGIONAL WEST MEDICAL CENTER,Acute Care Hospitals,Other Nebraska
280125,FAITH REGIONAL HEALTH SERVICES,Acute Care Hospitals,Other Nebraska
280105,CHI HEALTH MIDLANDS,Acute Care Hospitals,Other Nebraska
280059,TWELVE CLANS UNITY HOSPITAL,Acute Care Hospitals,Other Nebraska
280129,NEBRASKA ORTHOPAEDIC HOSPITAL,Acute Care Hospitals,Other Nebraska
280065,GREAT PLAINS HEALTH,Acute Care Hospitals,Other Nebraska
280132,BELLEVUE MEDICAL CENTER,Acute Care Hospitals,Other Nebraska
280111,"COLUMBUS COMMUNITY HOSPITAL, INC",Acute Care Hospitals,Other Nebraska
280127,LINCOLN SURGICAL HOSPITAL,Acute Care Hospitals,Other Nebraska
280032,MARY LANNING HEALTHCARE,Acute Care Hospitals,Other Nebraska
280131,MIDWEST SURGICAL HOSPITAL LLC,Acute Care Hospitals,Other Nebraska
280013,THE NEBRASKA MEDICAL CENTER,Acute Care Hospitals,Other Nebraska
280009,CHI HEALTH GOOD SAMARITAN,Acute Care Hospitals,Other Nebraska
280081,CHI HEALTH IMMANUEL,Acute Care Hospitals,Other Nebraska
283300,BOYS TOWN NATIONAL RESEARCH HOSPITAL,Childrens,Other Nebraska
283301,CHILDREN'S NEBRASKA,Childrens,Other Nebraska
281359,MEMORIAL COMMUNITY HOSPITAL & HEALTH SYSTEM,Critical Access Hospitals,Other Nebraska
281335,CALLAWAY DISTRICT HOSPITAL,Critical Access Hospitals,Other Nebraska
281342,CHI HEALTH ST. MARYS,Critical Access Hospitals,Other Nebraska
281338,HOWARD COUNTY MEDICAL CENTER,Critical Access Hospitals,Other Nebraska
281308,HENDERSON COMMUNITY HOSPITAL,Critical Access Hospitals,Other Nebraska
281351,CHASE COUNTY COMMUNITY HOSPITAL,Critical Access Hospitals,Other Nebraska
281356,PERKINS COUNTY HEALTH SERVICES,Critical Access Hospitals,Other Nebraska
281305,KIMBALL HEALTH SERVICES,Critical Access Hospitals,Other Nebraska
281320,MEMORIAL HOSPITAL,Critical Access Hospitals,Other Nebraska
281334,BOONE COUNTY HEALTH CENTER,Critical Access Hospitals,Other Nebraska
281312,GENOA COMMUNITY HOSPITAL,Critical Access Hospitals,Other Nebraska
281316,WEBSTER COUNTY COMMUNITY HOSPITAL,Critical Access Hospitals,Other Nebraska
281362,PHELPS MEMORIAL HEALTH CENTER,Critical Access Hospitals,Other Nebraska
281348,TRI VALLEY HEALTH SYSTEM,Critical Access Hospitals,Other Nebraska
281360,BOX BUTTE GENERAL HOSPITAL,Critical Access Hospitals,Other Nebraska
281314,ANNIE JEFFREY MEMORIAL COUNTY HEALTH CENTER,Critical Access Hospitals,Other Nebraska
281303,NIOBRARA VALLEY HOSPITAL,Critical Access Hospitals,Other Nebraska
281323,CHI HEALTH SCHUYLER,Critical Access Hospitals,Other Nebraska
281340,DUNDY COUNTY HOSPITAL,Critical Access Hospitals,Other Nebraska
281365,JENNIE M MELHAM MEMORIAL MEDICAL CENTER,Critical Access Hospitals,Other Nebraska
281332,BUTLER COUNTY HEALTH,Critical Access Hospitals,Other Nebraska
281301,FILLMORE COUNTY HOSPITAL,Critical Access Hospitals,Other Nebraska
281322,ST FRANCIS MEMORIAL HOSPITAL,Critical Access Hospitals,Other Nebraska
281353,VALLEY COUNTY HEALTH SYSTEM,Critical Access Hospitals,Other Nebraska
281352,"COMMUNITY MEDICAL CENTER, INC",Critical Access Hospitals,Other Nebraska
281307,SAUNDERS MEDICAL CENTER,Critical Access Hospitals,Other Nebraska
281347,OSMOND GENERAL HOSPITAL,Critical Access Hospitals,Other Nebraska
281313,GOTHENBURG HEALTH,Critical Access Hospitals,Other Nebraska
281325,BROWN COUNTY HOSPITAL,Critical Access Hospitals,Other Nebraska
281349,PENDER COMMUNITY HOSPITAL,Critical Access Hospitals,Other Nebraska
281333,ROCK COUNTY HOSPITAL,Critical Access Hospitals,Other Nebraska
281318,MORRILL COUNTY COMMUNITY HOSPITAL,Critical Access Hospitals,Other Nebraska
281350,JOHNSON COUNTY HOSPITAL,Critical Access Hospitals,Other Nebraska
281326,ANTELOPE MEMORIAL HOSPITAL,Critical Access Hospitals,Other Nebraska
281309,SYRACUSE AREA HEALTH,Critical Access Hospitals,Other Nebraska
281343,WEST HOLT MEMORIAL HOSPITAL,Critical Access Hospitals,Other Nebraska
281336,YORK GENERAL HEALTH CARE SERVICES,Critical Access Hospitals,Other Nebraska
281363,COMMUNITY HOSPITAL,Critical Access Hospitals,Other Nebraska
281357,SIDNEY REGIONAL MEDICAL CENTER,Critical Access Hospitals,Other Nebraska
281339,MEMORIAL HEALTH CARE SYSTEMS,Critical Access Hospitals,Other Nebraska
281341,CHADRON HOSPITAL,Critical Access Hospitals,Other Nebraska
281344,CHERRY COUNTY HOSPITAL,Critical Access Hospitals,Other Nebraska
281364,"BEATRICE COMMUNITY HOSPITAL & HEALTH CENTER, INC",Critical Access Hospitals,Other Nebraska
281329,AVERA ST ANTHONY'S HOSPITAL,Critical Access Hospitals,Other Nebraska
281358,GORDON MEMORIAL HOSPITAL DISTRICT,Critical Access Hospitals,Other Nebraska
281324,NEMAHA COUNTY HOSPITAL,Critical Access Hospitals,Other Nebraska
281311,FRANKLIN COUNTY MEMORIAL HOSPITAL,Critical Access Hospitals,Other Nebraska
281345,PROVIDENCE MEDICAL CENTER,Critical Access Hospitals,Other Nebraska
281361,LEXINGTON REGIONAL HEALTH CENTER,Critical Access Hospitals,Other Nebraska
281327,COZAD COMMUNITY HOSPITAL,Critical Access Hospitals,Other Nebraska
281331,AVERA CREIGHTON HOSPITAL,Critical Access Hospitals,Other Nebraska
281304,THAYER COUNTY HEALTH SERVICES,Critical Access Hospitals,Other Nebraska
281302,PAWNEE COUNTY MEMORIAL HOSPITAL,Critical Access Hospitals,Other Nebraska
281315,BRODSTONE HEALTHCARE,Critical Access Hospitals,Other Nebraska
281306,KEARNEY COUNTY HEALTH SERVICES HOSPITAL,Critical Access Hospitals,Other Nebraska
281346,CHI HEALTH PLAINVIEW HOSPITAL,Critical Access Hospitals,Other Nebraska
281319,JEFFERSON COMMUNITY HEALTH & LIFE,Critical Access Hospitals,Other Nebraska
281310,GARDEN COUNTY HEALTH SERVICES,Critical Access Hospitals,Other Nebraska
281355,OGALLALA COMMUNITY HOSPITAL,Critical Access Hospitals,Other Nebraska
281300,HARLAN COUNTY HEALTH SYSTEM,Critical Access Hospitals,Other Nebraska
284003,LINCOLN REGIONAL CENTER,Psychiatric,Other Nebraska
284009,DOUGLAS COUNTY COMMUNITY MENTAL HEALTH CENTER,Psychiatric,Other Nebraska
280779,FRIEND COMMUNITY HEALTHCARE SYSTEM,Rural Emergency Hospital,Other Nebraska
